Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",7.15,42791076.9,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",24.2,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.9,59130967.8,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",12.05,777670560.8,n/a,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),20.2,163868298.4,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,49.46,1329958527.88,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",7.69,473742096.26,61604954,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
XXII,"22nd Century Group, Inc",2.38,295443887.06,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/xxii
TWOU,"2U, Inc.",85.23,4492966866.93,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
DDD,3D Systems Corporation,11.43,1300791915.81,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
MMM,3M Company,215.36,128076300020.16,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,17.21,702257801.78,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai
JOBS,"51job, Inc.",85.44,3113106450.24,36436171,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
WUBA,58.com Inc.,80.22,11753043591.24,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba
CAFD,8point3 Energy Partners LP,11.72,926973534.6,n/a,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,19.1,1760304571.3,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",18.2,406737658.6,n/a,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",43.05,1271068556.1,n/a,1972,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm
AHC,A.H. Belo Corporation,5.1,111024235.8,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",5.75,406820837.5,n/a,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",12.02,294005834.4,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
AAON,"AAON, Inc.",37.2,1950515337.6,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
AIR,AAR Corp.,41.92,1452055896.96,n/a,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",45.3,3287797035.3,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
ABAX,"ABAXIS, Inc.",72.45,1644470100,n/a,1992,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/abax
ABB,ABB Ltd,23.03,49252107441.67,n/a,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,59.5,103906866574,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,97.46,154638538020.56,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ABEO,Abeona Therapeutics Inc.,14.05,663538507,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,9.7853,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ANF,Abercrombie & Fitch Company,23.25,1585533750,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.73,1192578797.52,n/a,1986,n/a,n/a,https://www.nasdaq.com/symbol/fax
