Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CLXT,+ACI-Calyxt, Inc.+ACI-,15.35,430756535.25,n/a,2017,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/clxt
CCJ,Cameco Corporation,8.97,3550260806.04,n/a,1996,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ccj
CSL,Carlisle Companies Incorporated,102.98,6320168678.44,n/a,n/a,Basic Industries,Specialty Chemicals,https://www.nasdaq.com/symbol/csl
CRS,Carpenter Technology Corporation,42.76,2006145050.2,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/crs
CVCO,+ACI-Cavco Industries, Inc.+ACI-,169.4,1530817827,n/a,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/cvco
CE,Celanese Corporation,96.72,13136820581.04,n/a,2005,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ce
LEU,Centrus Energy Corp.,3.87,34979966.37,n/a,2014,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/leu
CENX,Century Aluminum Company,16.665,1459229495.79,n/a,1996,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/cenx
CF,+ACI-CF Industries Holdings, Inc.+ACI-,36.92,8613142449.08,n/a,2005,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/cf
CC,Chemours Company (The),47.09,8546170136.29,n/a,2015,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/cc
CBI,Chicago Bridge +ACY- Iron Company N.V.,16.17,1658049307.53,n/a,1997,Basic Industries,Engineering +ACY- Construction,https://www.nasdaq.com/symbol/cbi
CADC,+ACI-China Advanced Construction Materials Group, Inc.+ACI-,2.4,5730379.2,n/a,n/a,Basic Industries,Engineering +ACY- Construction,https://www.nasdaq.com/symbol/cadc
CGA,+ACI-China Green Agriculture, Inc.+ACI-,1.27,48960106.55,n/a,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/cga
CHNR,+ACI-China Natural Resources, Inc.+ACI-,2.22,55302233.52,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/chnr
CHD,+ACI-Church +ACY- Dwight Company, Inc.+ACI-,47.3,11547190686.9,n/a,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/chd
CINR,Ciner Resources LP,26.85,529634937.6,n/a,2013,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/cinr
CLH,+ACI-Clean Harbors, Inc.+ACI-,48.71,2752444523.15,n/a,n/a,Basic Industries,Environmental Services,https://www.nasdaq.com/symbol/clh
CLW,Clearwater Paper Corporation,37,608572226,n/a,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/clw
CLF,Cleveland+AC0-Cliffs Inc.,6.65,1977760879.15,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/clf
CDXS,+ACI-Codexis, Inc.+ACI-,11,532771184,n/a,2010,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/cdxs
CDE,+ACI-Coeur Mining, Inc.+ACI-,8.08,1498375610.08,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/cde
CMC,Commercial Metals Company,20.39,2378121321.33,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/cmc
CMP,+ACI-Compass Minerals International, Inc.+ACI-,60.45,2045133216.75,n/a,2003,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/cmp
LODE,+ACI-Comstock Mining, Inc.+ACI-,0.2617,13012321.9845,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/lode
CSTM,Constellium N.V.,10.65,1432538134.95,n/a,2013,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/cstm
GLW,Corning Incorporated,27.78,23591629568.28,n/a,n/a,Basic Industries,Telecommunications Equipment,https://www.nasdaq.com/symbol/glw
CVA,Covanta Holding Corporation,14.55,1905941864.4,n/a,n/a,Basic Industries,Electric Utilities: Central,https://www.nasdaq.com/symbol/cva
CRWS,+ACI-Crown Crafts, Inc.+ACI-,6,60514584,n/a,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/crws
CSWI,+ACI-CSW Industrials, Inc.+ACI-,44.4,709032657.6,n/a,n/a,Basic Industries,Home Furnishings,https://www.nasdaq.com/symbol/cswi
CTIB,CTI Industries Corporation,4.3,15158476.1,n/a,1997,Basic Industries,Specialty Chemicals,https://www.nasdaq.com/symbol/ctib
CULP,+ACI-Culp, Inc.+ACI-,30.25,376620849,n/a,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/culp
UAN,+ACI-CVR Partners, LP+ACI-,3.38,382896448.74,n/a,2011,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/uan
DELT,Delta Technology Holdings Limited,1.18,11872781.22,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/delt
DNN,Denison Mine Corp,0.455,254428360.095,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/dnn
UFS,Domtar Corporation,41.92,2724846279.68,n/a,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/ufs
DWDP,DowDuPont Inc.,63.06,146674105510.14,n/a,2017,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/dwdp
